country_or_region;date;variable;generation_twh
Europe;2015-01-01;Bioenergy;9.42
Europe;2015-01-01;Clean;236.98
Europe;2015-01-01;Coal;106.83
Europe;2015-01-01;Fossil;217.83
Europe;2015-01-01;Gas;102.36
Europe;2015-01-01;Hydro;75.98
Europe;2015-01-01;Nuclear;113.58
Europe;2015-01-01;Other Fossil;8.64
Europe;2015-01-01;Other Renewables;0.37
Europe;2015-01-01;Solar;2.88
Europe;2015-01-01;Wind;34.75
Europe;2015-01-01;Wind and solar;37.63
Europe;2015-02-01;Bioenergy;8.79
Europe;2015-02-01;Clean;213.47
Europe;2015-02-01;Coal;98.14
Europe;2015-02-01;Fossil;205.27
Europe;2015-02-01;Gas;99.26
Europe;2015-02-01;Hydro;72.72
Europe;2015-02-01;Nuclear;99.28
Europe;2015-02-01;Other Fossil;7.87
Europe;2015-02-01;Other Renewables;0.4
Europe;2015-02-01;Solar;4.65
Europe;2015-02-01;Wind;27.63
Europe;2015-02-01;Wind and solar;32.28
Europe;2015-03-01;Bioenergy;9.29
Europe;2015-03-01;Clean;222.97
Europe;2015-03-01;Coal;97.7
Europe;2015-03-01;Fossil;196.45
Europe;2015-03-01;Gas;90.91
Europe;2015-03-01;Hydro;75.98
Europe;2015-03-01;Nuclear;99.42
Europe;2015-03-01;Other Fossil;7.84
Europe;2015-03-01;Other Renewables;0.42
Europe;2015-03-01;Solar;8.41
Europe;2015-03-01;Wind;29.45
Europe;2015-03-01;Wind and solar;37.86
Europe;2015-04-01;Bioenergy;8.71
Europe;2015-04-01;Clean;198.02
Europe;2015-04-01;Coal;84.25
Europe;2015-04-01;Fossil;162.75
Europe;2015-04-01;Gas;71.21
Europe;2015-04-01;Hydro;66.11
Europe;2015-04-01;Nuclear;87.52
Europe;2015-04-01;Other Fossil;7.29
Europe;2015-04-01;Other Renewables;0.39
Europe;2015-04-01;Solar;12.43
Europe;2015-04-01;Wind;22.86
Europe;2015-04-01;Wind and solar;35.29
Europe;2015-05-01;Bioenergy;8.76
Europe;2015-05-01;Clean;201.26
Europe;2015-05-01;Coal;72.39
Europe;2015-05-01;Fossil;147.36
Europe;2015-05-01;Gas;67.03
Europe;2015-05-01;Hydro;71.39
Europe;2015-05-01;Nuclear;82.64
Europe;2015-05-01;Other Fossil;7.94
Europe;2015-05-01;Other Renewables;0.42
Europe;2015-05-01;Solar;13.19
Europe;2015-05-01;Wind;24.86
Europe;2015-05-01;Wind and solar;38.05
Europe;2015-06-01;Bioenergy;8.28
Europe;2015-06-01;Clean;188.86
Europe;2015-06-01;Coal;78.26
Europe;2015-06-01;Fossil;154.35
Europe;2015-06-01;Gas;68.68
Europe;2015-06-01;Hydro;65.2
Europe;2015-06-01;Nuclear;83.16
Europe;2015-06-01;Other Fossil;7.41
Europe;2015-06-01;Other Renewables;0.4
Europe;2015-06-01;Solar;13.77
Europe;2015-06-01;Wind;18.05
Europe;2015-06-01;Wind and solar;31.82
Europe;2015-07-01;Bioenergy;8.37
Europe;2015-07-01;Clean;186.98
Europe;2015-07-01;Coal;86.92
Europe;2015-07-01;Fossil;180.74
Europe;2015-07-01;Gas;86.13
Europe;2015-07-01;Hydro;56.25
Europe;2015-07-01;Nuclear;86.32
Europe;2015-07-01;Other Fossil;7.69
Europe;2015-07-01;Other Renewables;0.43
Europe;2015-07-01;Solar;14.42
Europe;2015-07-01;Wind;21.19
Europe;2015-07-01;Wind and solar;35.61
Europe;2015-08-01;Bioenergy;9.07
Europe;2015-08-01;Clean;181.41
Europe;2015-08-01;Coal;82.89
Europe;2015-08-01;Fossil;169.06
Europe;2015-08-01;Gas;77.84
Europe;2015-08-01;Hydro;54.57
Europe;2015-08-01;Nuclear;86.24
Europe;2015-08-01;Other Fossil;8.33
Europe;2015-08-01;Other Renewables;0.42
Europe;2015-08-01;Solar;13.01
Europe;2015-08-01;Wind;18.1
Europe;2015-08-01;Wind and solar;31.11
Europe;2015-09-01;Bioenergy;8.95
Europe;2015-09-01;Clean;176.18
Europe;2015-09-01;Coal;87.22
Europe;2015-09-01;Fossil;179.93
Europe;2015-09-01;Gas;84.06
Europe;2015-09-01;Hydro;52.12
Europe;2015-09-01;Nuclear;83.97
Europe;2015-09-01;Other Fossil;8.65
Europe;2015-09-01;Other Renewables;0.38
Europe;2015-09-01;Solar;9.92
Europe;2015-09-01;Wind;20.84
Europe;2015-09-01;Wind and solar;30.76
Europe;2015-10-01;Bioenergy;9.84
Europe;2015-10-01;Clean;187.58
Europe;2015-10-01;Coal;98.48
Europe;2015-10-01;Fossil;214.1
Europe;2015-10-01;Gas;106.6
Europe;2015-10-01;Hydro;58.88
Europe;2015-10-01;Nuclear;92.05
Europe;2015-10-01;Other Fossil;9.02
Europe;2015-10-01;Other Renewables;0.41
Europe;2015-10-01;Solar;6.14
Europe;2015-10-01;Wind;20.26
Europe;2015-10-01;Wind and solar;26.4
Europe;2015-11-01;Bioenergy;10.03
Europe;2015-11-01;Clean;201.42
Europe;2015-11-01;Coal;90.47
Europe;2015-11-01;Fossil;210.6
Europe;2015-11-01;Gas;111.01
Europe;2015-11-01;Hydro;59.37
Europe;2015-11-01;Nuclear;93.6
Europe;2015-11-01;Other Fossil;9.12
Europe;2015-11-01;Other Renewables;0.45
Europe;2015-11-01;Solar;4.22
Europe;2015-11-01;Wind;33.75
Europe;2015-11-01;Wind and solar;37.97
Europe;2015-12-01;Bioenergy;10.42
Europe;2015-12-01;Clean;216.78
Europe;2015-12-01;Coal;89.09
Europe;2015-12-01;Fossil;208.32
Europe;2015-12-01;Gas;109.12
Europe;2015-12-01;Hydro;60.2
Europe;2015-12-01;Nuclear;104.65
Europe;2015-12-01;Other Fossil;10.11
Europe;2015-12-01;Other Renewables;0.46
Europe;2015-12-01;Solar;3.07
Europe;2015-12-01;Wind;37.98
Europe;2015-12-01;Wind and solar;41.05
Europe;2016-01-01;Bioenergy;11.17
Europe;2016-01-01;Clean;237.09
Europe;2016-01-01;Coal;95
Europe;2016-01-01;Fossil;217.74
Europe;2016-01-01;Gas;114.18
Europe;2016-01-01;Hydro;73.6
Europe;2016-01-01;Nuclear;109.8
Europe;2016-01-01;Other Fossil;8.56
Europe;2016-01-01;Other Renewables;2.73
Europe;2016-01-01;Solar;3.17
Europe;2016-01-01;Wind;36.62
Europe;2016-01-01;Wind and solar;39.79
Europe;2016-02-01;Bioenergy;10.33
Europe;2016-02-01;Clean;230.72
Europe;2016-02-01;Coal;80.65
Europe;2016-02-01;Fossil;181.42
Europe;2016-02-01;Gas;93.24
Europe;2016-02-01;Hydro;76.21
Europe;2016-02-01;Nuclear;99.4
Europe;2016-02-01;Other Fossil;7.53
Europe;2016-02-01;Other Renewables;2.56
Europe;2016-02-01;Solar;4.84
Europe;2016-02-01;Wind;37.38
Europe;2016-02-01;Wind and solar;42.22
Europe;2016-03-01;Bioenergy;10.81
Europe;2016-03-01;Clean;229.93
Europe;2016-03-01;Coal;84.11
Europe;2016-03-01;Fossil;189.56
Europe;2016-03-01;Gas;98.06
Europe;2016-03-01;Hydro;77.23
Europe;2016-03-01;Nuclear;103.22
Europe;2016-03-01;Other Fossil;7.39
Europe;2016-03-01;Other Renewables;2.65
Europe;2016-03-01;Solar;8.3
Europe;2016-03-01;Wind;27.72
Europe;2016-03-01;Wind and solar;36.02
Europe;2016-04-01;Bioenergy;9.84
Europe;2016-04-01;Clean;213.51
Europe;2016-04-01;Coal;70.31
Europe;2016-04-01;Fossil;159.6
Europe;2016-04-01;Gas;82.85
Europe;2016-04-01;Hydro;76.54
Europe;2016-04-01;Nuclear;88.05
Europe;2016-04-01;Other Fossil;6.44
Europe;2016-04-01;Other Renewables;2.5
Europe;2016-04-01;Solar;11.24
Europe;2016-04-01;Wind;25.34
Europe;2016-04-01;Wind and solar;36.58
Europe;2016-05-01;Bioenergy;9.95
Europe;2016-05-01;Clean;207.48
Europe;2016-05-01;Coal;64.59
Europe;2016-05-01;Fossil;150.34
Europe;2016-05-01;Gas;79.05
Europe;2016-05-01;Hydro;77.7
Europe;2016-05-01;Nuclear;79.84
Europe;2016-05-01;Other Fossil;6.7
Europe;2016-05-01;Other Renewables;2.62
Europe;2016-05-01;Solar;13.5
Europe;2016-05-01;Wind;23.87
Europe;2016-05-01;Wind and solar;37.37
Europe;2016-06-01;Bioenergy;9.18
Europe;2016-06-01;Clean;195.44
Europe;2016-06-01;Coal;70.15
Europe;2016-06-01;Fossil;157.91
Europe;2016-06-01;Gas;81.44
Europe;2016-06-01;Hydro;73.95
Europe;2016-06-01;Nuclear;79.34
Europe;2016-06-01;Other Fossil;6.32
Europe;2016-06-01;Other Renewables;2.53
Europe;2016-06-01;Solar;13.69
Europe;2016-06-01;Wind;16.75
Europe;2016-06-01;Wind and solar;30.44
Europe;2016-07-01;Bioenergy;9.24
Europe;2016-07-01;Clean;195.38
Europe;2016-07-01;Coal;75.24
Europe;2016-07-01;Fossil;173.28
Europe;2016-07-01;Gas;91.04
Europe;2016-07-01;Hydro;64.57
Europe;2016-07-01;Nuclear;84.88
Europe;2016-07-01;Other Fossil;7
Europe;2016-07-01;Other Renewables;2.62
Europe;2016-07-01;Solar;14.73
Europe;2016-07-01;Wind;19.34
Europe;2016-07-01;Wind and solar;34.07
Europe;2016-08-01;Bioenergy;9.17
Europe;2016-08-01;Clean;191.1
Europe;2016-08-01;Coal;71.34
Europe;2016-08-01;Fossil;170.29
Europe;2016-08-01;Gas;91.41
Europe;2016-08-01;Hydro;59.12
Europe;2016-08-01;Nuclear;84.24
Europe;2016-08-01;Other Fossil;7.54
Europe;2016-08-01;Other Renewables;2.68
Europe;2016-08-01;Solar;14.16
Europe;2016-08-01;Wind;21.73
Europe;2016-08-01;Wind and solar;35.89
Europe;2016-09-01;Bioenergy;9.09
Europe;2016-09-01;Clean;176.42
Europe;2016-09-01;Coal;78.22
Europe;2016-09-01;Fossil;194.3
Europe;2016-09-01;Gas;109.11
Europe;2016-09-01;Hydro;53.2
Europe;2016-09-01;Nuclear;82.1
Europe;2016-09-01;Other Fossil;6.97
Europe;2016-09-01;Other Renewables;2.47
Europe;2016-09-01;Solar;11.13
Europe;2016-09-01;Wind;18.43
Europe;2016-09-01;Wind and solar;29.56
Europe;2016-10-01;Bioenergy;9.76
Europe;2016-10-01;Clean;183.09
Europe;2016-10-01;Coal;88.65
Europe;2016-10-01;Fossil;223.02
Europe;2016-10-01;Gas;126.8
Europe;2016-10-01;Hydro;54.77
Europe;2016-10-01;Nuclear;86.56
Europe;2016-10-01;Other Fossil;7.57
Europe;2016-10-01;Other Renewables;2.73
Europe;2016-10-01;Solar;6.43
Europe;2016-10-01;Wind;22.84
Europe;2016-10-01;Wind and solar;29.27
Europe;2016-11-01;Bioenergy;10.26
Europe;2016-11-01;Clean;197.88
Europe;2016-11-01;Coal;92.33
Europe;2016-11-01;Fossil;233.96
Europe;2016-11-01;Gas;133.55
Europe;2016-11-01;Hydro;60.05
Europe;2016-11-01;Nuclear;89.96
Europe;2016-11-01;Other Fossil;8.08
Europe;2016-11-01;Other Renewables;2.56
Europe;2016-11-01;Solar;4.03
Europe;2016-11-01;Wind;31.02
Europe;2016-11-01;Wind and solar;35.05
Europe;2016-12-01;Bioenergy;11.09
Europe;2016-12-01;Clean;210.85
Europe;2016-12-01;Coal;95.85
Europe;2016-12-01;Fossil;248.02
Europe;2016-12-01;Gas;143.84
Europe;2016-12-01;Hydro;60.83
Europe;2016-12-01;Nuclear;100.29
Europe;2016-12-01;Other Fossil;8.33
Europe;2016-12-01;Other Renewables;2.73
Europe;2016-12-01;Solar;3.5
Europe;2016-12-01;Wind;32.41
Europe;2016-12-01;Wind and solar;35.91
Europe;2017-01-01;Bioenergy;12.23
Europe;2017-01-01;Clean;226.15
Europe;2017-01-01;Coal;108.54
Europe;2017-01-01;Fossil;268.88
Europe;2017-01-01;Gas;150.24
Europe;2017-01-01;Hydro;68.22
Europe;2017-01-01;Nuclear;106.01
Europe;2017-01-01;Other Fossil;10.1
Europe;2017-01-01;Other Renewables;3.18
Europe;2017-01-01;Solar;3.86
Europe;2017-01-01;Wind;32.65
Europe;2017-01-01;Wind and solar;36.51
Europe;2017-02-01;Bioenergy;11.32
Europe;2017-02-01;Clean;205.95
Europe;2017-02-01;Coal;87.01
Europe;2017-02-01;Fossil;207.64
Europe;2017-02-01;Gas;111.96
Europe;2017-02-01;Hydro;58.67
Europe;2017-02-01;Nuclear;92.63
Europe;2017-02-01;Other Fossil;8.67
Europe;2017-02-01;Other Renewables;2.8
Europe;2017-02-01;Solar;5.07
Europe;2017-02-01;Wind;35.46
Europe;2017-02-01;Wind and solar;40.53
Europe;2017-03-01;Bioenergy;12.01
Europe;2017-03-01;Clean;227.72
Europe;2017-03-01;Coal;76.44
Europe;2017-03-01;Fossil;189.38
Europe;2017-03-01;Gas;104.14
Europe;2017-03-01;Hydro;68.57
Europe;2017-03-01;Nuclear;98.1
Europe;2017-03-01;Other Fossil;8.8
Europe;2017-03-01;Other Renewables;3.11
Europe;2017-03-01;Solar;10.23
Europe;2017-03-01;Wind;35.7
Europe;2017-03-01;Wind and solar;45.93
Europe;2017-04-01;Bioenergy;10.94
Europe;2017-04-01;Clean;203.53
Europe;2017-04-01;Coal;68.76
Europe;2017-04-01;Fossil;167.48
Europe;2017-04-01;Gas;91.01
Europe;2017-04-01;Hydro;57.79
Europe;2017-04-01;Nuclear;90.08
Europe;2017-04-01;Other Fossil;7.71
Europe;2017-04-01;Other Renewables;3.08
Europe;2017-04-01;Solar;12.6
Europe;2017-04-01;Wind;29.04
Europe;2017-04-01;Wind and solar;41.64
Europe;2017-05-01;Bioenergy;10.71
Europe;2017-05-01;Clean;205.63
Europe;2017-05-01;Coal;70.86
Europe;2017-05-01;Fossil;165.59
Europe;2017-05-01;Gas;87.08
Europe;2017-05-01;Hydro;66.48
Europe;2017-05-01;Nuclear;86.77
Europe;2017-05-01;Other Fossil;7.65
Europe;2017-05-01;Other Renewables;3.15
Europe;2017-05-01;Solar;15.08
Europe;2017-05-01;Wind;23.44
Europe;2017-05-01;Wind and solar;38.52
Europe;2017-06-01;Bioenergy;9.46
Europe;2017-06-01;Clean;199.15
Europe;2017-06-01;Coal;66.9
Europe;2017-06-01;Fossil;165.83
Europe;2017-06-01;Gas;91.6
Europe;2017-06-01;Hydro;63.27
Europe;2017-06-01;Nuclear;81.95
Europe;2017-06-01;Other Fossil;7.33
Europe;2017-06-01;Other Renewables;2.99
Europe;2017-06-01;Solar;15.65
Europe;2017-06-01;Wind;25.83
Europe;2017-06-01;Wind and solar;41.48
Europe;2017-07-01;Bioenergy;9.87
Europe;2017-07-01;Clean;195.21
Europe;2017-07-01;Coal;73.57
Europe;2017-07-01;Fossil;183.17
Europe;2017-07-01;Gas;101.91
Europe;2017-07-01;Hydro;59.93
Europe;2017-07-01;Nuclear;84.22
Europe;2017-07-01;Other Fossil;7.69
Europe;2017-07-01;Other Renewables;3.08
Europe;2017-07-01;Solar;15.33
Europe;2017-07-01;Wind;22.78
Europe;2017-07-01;Wind and solar;38.11
Europe;2017-08-01;Bioenergy;9.97
Europe;2017-08-01;Clean;197.66
Europe;2017-08-01;Coal;72.4
Europe;2017-08-01;Fossil;169.29
Europe;2017-08-01;Gas;89.25
Europe;2017-08-01;Hydro;60.57
Europe;2017-08-01;Nuclear;87.28
Europe;2017-08-01;Other Fossil;7.64
Europe;2017-08-01;Other Renewables;3.02
Europe;2017-08-01;Solar;14.36
Europe;2017-08-01;Wind;22.46
Europe;2017-08-01;Wind and solar;36.82
Europe;2017-09-01;Bioenergy;9.47
Europe;2017-09-01;Clean;192.37
Europe;2017-09-01;Coal;75.21
Europe;2017-09-01;Fossil;173.86
Europe;2017-09-01;Gas;91.54
Europe;2017-09-01;Hydro;60.18
Europe;2017-09-01;Nuclear;84.42
Europe;2017-09-01;Other Fossil;7.11
Europe;2017-09-01;Other Renewables;2.92
Europe;2017-09-01;Solar;10.52
Europe;2017-09-01;Wind;24.86
Europe;2017-09-01;Wind and solar;35.38
Europe;2017-10-01;Bioenergy;10.28
Europe;2017-10-01;Clean;200.48
Europe;2017-10-01;Coal;79.48
Europe;2017-10-01;Fossil;192.99
Europe;2017-10-01;Gas;105.96
Europe;2017-10-01;Hydro;55.38
Europe;2017-10-01;Nuclear;85.21
Europe;2017-10-01;Other Fossil;7.55
Europe;2017-10-01;Other Renewables;2.99
Europe;2017-10-01;Solar;8
Europe;2017-10-01;Wind;38.62
Europe;2017-10-01;Wind and solar;46.62
Europe;2017-11-01;Bioenergy;11.26
Europe;2017-11-01;Clean;205.31
Europe;2017-11-01;Coal;90.71
Europe;2017-11-01;Fossil;227.53
Europe;2017-11-01;Gas;128.78
Europe;2017-11-01;Hydro;62.24
Europe;2017-11-01;Nuclear;89.1
Europe;2017-11-01;Other Fossil;8.04
Europe;2017-11-01;Other Renewables;3.05
Europe;2017-11-01;Solar;4.29
Europe;2017-11-01;Wind;35.37
Europe;2017-11-01;Wind and solar;39.66
Europe;2017-12-01;Bioenergy;11.69
Europe;2017-12-01;Clean;237.47
Europe;2017-12-01;Coal;85.53
Europe;2017-12-01;Fossil;212.14
Europe;2017-12-01;Gas;118.34
Europe;2017-12-01;Hydro;68.72
Europe;2017-12-01;Nuclear;102.89
Europe;2017-12-01;Other Fossil;8.27
Europe;2017-12-01;Other Renewables;3.05
Europe;2017-12-01;Solar;3.13
Europe;2017-12-01;Wind;47.99
Europe;2017-12-01;Wind and solar;51.12
Europe;2018-01-01;Bioenergy;11.56
Europe;2018-01-01;Clean;245.84
Europe;2018-01-01;Coal;85.31
Europe;2018-01-01;Fossil;211.06
Europe;2018-01-01;Gas;116.8
Europe;2018-01-01;Hydro;75.07
Europe;2018-01-01;Nuclear;106.24
Europe;2018-01-01;Other Fossil;8.95
Europe;2018-01-01;Other Renewables;2.46
Europe;2018-01-01;Solar;3.86
Europe;2018-01-01;Wind;46.65
Europe;2018-01-01;Wind and solar;50.51
Europe;2018-02-01;Bioenergy;11.38
Europe;2018-02-01;Clean;220.87
Europe;2018-02-01;Coal;88.81
Europe;2018-02-01;Fossil;213.19
Europe;2018-02-01;Gas;115.94
Europe;2018-02-01;Hydro;70.95
Europe;2018-02-01;Nuclear;97.01
