date;Bioenergy;Clean;Coal;Fossil;Gas;Hydro;Nuclear;Other Fossil;Other Renewables;Solar;Wind;Wind and solar;Total
01/01/2015;9,42;236,98;106,83;217,83;102,36;75,98;113,58;8,64;0,37;2,88;34,75;37,63;947,25
01/02/2015;8,79;213,47;98,14;205,27;99,26;72,72;99,28;7,87;0,4;4,65;27,63;32,28;869,76
01/03/2015;9,29;222,97;97,7;196,45;90,91;75,98;99,42;7,84;0,42;8,41;29,45;37,86;876,7
01/04/2015;8,71;198,02;84,25;162,75;71,21;66,11;87,52;7,29;0,39;12,43;22,86;35,29;756,83
01/05/2015;8,76;201,26;72,39;147,36;67,03;71,39;82,64;7,94;0,42;13,19;24,86;38,05;735,29
01/06/2015;8,28;188,86;78,26;154,35;68,68;65,2;83,16;7,41;0,4;13,77;18,05;31,82;718,24
01/07/2015;8,37;186,98;86,92;180,74;86,13;56,25;86,32;7,69;0,43;14,42;21,19;35,61;771,05
01/08/2015;9,07;181,41;82,89;169,06;77,84;54,57;86,24;8,33;0,42;13,01;18,1;31,11;732,05
01/09/2015;8,95;176,18;87,22;179,93;84,06;52,12;83,97;8,65;0,38;9,92;20,84;30,76;742,98
01/10/2015;9,84;187,58;98,48;214,1;106,6;58,88;92,05;9,02;0,41;6,14;20,26;26,4;829,76
01/11/2015;10,03;201,42;90,47;210,6;111,01;59,37;93,6;9,12;0,45;4,22;33,75;37,97;862,01
01/12/2015;10,42;216,78;89,09;208,32;109,12;60,2;104,65;10,11;0,46;3,07;37,98;41,05;891,25
01/01/2016;11,17;237,09;95;217,74;114,18;73,6;109,8;8,56;2,73;3,17;36,62;39,79;949,45
01/02/2016;10,33;230,72;80,65;181,42;93,24;76,21;99,4;7,53;2,56;4,84;37,38;42,22;866,5
01/03/2016;10,81;229,93;84,11;189,56;98,06;77,23;103,22;7,39;2,65;8,3;27,72;36,02;875
01/04/2016;9,84;213,51;70,31;159,6;82,85;76,54;88,05;6,44;2,5;11,24;25,34;36,58;782,8
01/05/2016;9,95;207,48;64,59;150,34;79,05;77,7;79,84;6,7;2,62;13,5;23,87;37,37;753,01
01/06/2016;9,18;195,44;70,15;157,91;81,44;73,95;79,34;6,32;2,53;13,69;16,75;30,44;737,14
01/07/2016;9,24;195,38;75,24;173,28;91,04;64,57;84,88;7;2,62;14,73;19,34;34,07;771,39
01/08/2016;9,17;191,1;71,34;170,29;91,41;59,12;84,24;7,54;2,68;14,16;21,73;35,89;758,67
01/09/2016;9,09;176,42;78,22;194,3;109,11;53,2;82,1;6,97;2,47;11,13;18,43;29,56;771
01/10/2016;9,76;183,09;88,65;223,02;126,8;54,77;86,56;7,57;2,73;6,43;22,84;29,27;841,49
01/11/2016;10,26;197,88;92,33;233,96;133,55;60,05;89,96;8,08;2,56;4,03;31,02;35,05;898,73
01/12/2016;11,09;210,85;95,85;248,02;143,84;60,83;100,29;8,33;2,73;3,5;32,41;35,91;953,65
01/01/2017;12,23;226,15;108,54;268,88;150,24;68,22;106,01;10,1;3,18;3,86;32,65;36,51;1026,57
01/02/2017;11,32;205,95;87,01;207,64;111,96;58,67;92,63;8,67;2,8;5,07;35,46;40,53;867,71
01/03/2017;12,01;227,72;76,44;189,38;104,14;68,57;98,1;8,8;3,11;10,23;35,7;45,93;880,13
01/04/2017;10,94;203,53;68,76;167,48;91,01;57,79;90,08;7,71;3,08;12,6;29,04;41,64;783,66
01/05/2017;10,71;205,63;70,86;165,59;87,08;66,48;86,77;7,65;3,15;15,08;23,44;38,52;780,96
01/06/2017;9,46;199,15;66,9;165,83;91,6;63,27;81,95;7,33;2,99;15,65;25,83;41,48;771,44
01/07/2017;9,87;195,21;73,57;183,17;101,91;59,93;84,22;7,69;3,08;15,33;22,78;38,11;794,87
01/08/2017;9,97;197,66;72,4;169,29;89,25;60,57;87,28;7,64;3,02;14,36;22,46;36,82;770,72
01/09/2017;9,47;192,37;75,21;173,86;91,54;60,18;84,42;7,11;2,92;10,52;24,86;35,38;767,84
01/10/2017;10,28;200,48;79,48;192,99;105,96;55,38;85,21;7,55;2,99;8;38,62;46,62;833,56
01/11/2017;11,26;205,31;90,71;227,53;128,78;62,24;89,1;8,04;3,05;4,29;35,37;39,66;905,34
01/12/2017;11,69;237,47;85,53;212,14;118,34;68,72;102,89;8,27;3,05;3,13;47,99;51,12;950,34
01/01/2018;11,56;245,84;85,31;211,06;116,8;75,07;106,24;8,95;2,46;3,86;46,65;50,51;964,31
01/02/2018;11,38;220,87;88,81;213,19;115,94;70,95;97,01;8,44;2,17;6,22;33,14;39,36;907,48
01/03/2018;12,11;246,34;88,05;200,49;103,44;80,62;99,84;9;2,4;8,9;42,47;51,37;945,03
01/04/2018;11,13;222,27;64,33;150,25;78,06;78,12;85,09;7,86;2,31;13,91;31,71;45,62;790,66
01/05/2018;10,77;217,53;66,68;151,22;76,7;80,34;82,57;7,84;2,33;16,83;24,69;41,52;779,02
01/06/2018;9,86;204,63;69,8;160,95;83,8;70,89;82,73;7,35;2,2;16,56;22,39;38,95;770,11
01/07/2018;10,21;200,85;80,08;195,07;107,05;63,41;87,84;7,94;2,23;18,86;18,3;37,16;829
01/08/2018;10,55;197,2;77,32;184,71;99,41;57,95;85,38;7,98;2,26;16,12;24,94;41,06;804,88
01/09/2018;10,62;190,92;78,06;181,6;95,84;51,74;83,85;7,7;2,2;13,12;29,39;42,51;787,55
01/10/2018;11,8;199,6;82,73;199,28;108,5;50,11;87,9;8,05;2,44;9,18;38,17;47,35;845,11
01/11/2018;12,06;209,11;87,63;214,65;118,96;60,53;90,71;8,06;2,48;4,65;38,68;43,33;890,85
01/12/2018;13,06;233,61;83,73;210,88;118,72;67,44;102,38;8,43;2,57;3,42;44,74;48,16;937,14
01/01/2019;12,89;240,21;90,03;233;132,21;67,42;106,14;10,76;2,61;4,3;46,85;51,15;997,57
01/02/2019;11,16;219,49;75,56;192,26;107,74;61,26;97,02;8,96;2,36;8,26;39,43;47,69;871,19
01/03/2019;12,11;242,02;69,54;183,71;105,05;64,87;99,13;9,12;2,58;12,06;51,27;63,33;914,79
01/04/2019;10,74;217,07;63,41;166,9;95,21;65,5;89,39;8,28;2,53;15,02;33,89;48,91;816,85
01/05/2019;10,69;221,82;58,78;156,5;89,75;74,2;86,68;7,97;2,51;16,62;31,12;47,74;804,38
01/06/2019;9,95;212,68;55,82;152,75;89,77;72,86;81,36;7,16;2,28;19,38;26,85;46,23;777,09
01/07/2019;10,35;212,85;62,37;173,56;103,78;67,86;87,39;7,41;2,39;18,97;25,89;44,86;817,68
01/08/2019;10,42;208,69;60,82;166,95;98,35;64,66;86,14;7,78;2,36;17,84;27,27;45,11;796,39
01/09/2019;9,94;205,17;59,86;166,79;98,88;58,67;85,83;8,05;2,39;13,82;34,52;48,34;792,26
01/10/2019;11,07;212,32;68,51;189,05;111,88;60,07;91,02;8,66;2,56;9,58;38,02;47,6;850,34
01/11/2019;12,35;225,07;73,87;196,47;113,73;70,97;91,85;8,87;2,62;5,03;42,25;47,28;890,36
01/12/2019;13;245,08;71,84;193,57;112,57;74,38;97,8;9,16;2,7;4,4;52,8;57,2;934,5
01/01/2020;12,72;247,38;72,21;205,04;123,7;70,03;101,96;9,13;2,71;5,53;54,43;59,96;964,8
01/02/2020;11,24;244,88;61,03;173,4;103,94;69,94;90,27;8,43;2,51;8,22;62,7;70,92;907,48
01/03/2020;12,3;251,35;58,72;164,29;97,09;79,26;90,65;8,48;2,71;14,12;52,31;66,43;897,71
01/04/2020;11,2;219,3;44,48;127,97;76,23;71,13;80,2;7,26;2,57;19,59;34,61;54,2;748,74
01/05/2020;11,42;222,52;42,84;121,76;71,86;77,48;76,6;7,06;2,57;21,72;32,73;54,45;743,01
01/06/2020;10,46;204,7;48,05;137,44;82,64;73,18;70,23;6,75;2,42;20,58;27,83;48,41;732,69
01/07/2020;10,59;210,16;52,1;161,17;101,72;69,05;74,12;7,35;2,4;22,32;31,68;54;796,66
01/08/2020;10,39;204,44;54,88;163,71;101,03;66,58;75,4;7,8;2,39;20,24;29,44;49,68;785,98
01/09/2020;10,24;202,25;58,34;165,16;98,86;62,72;76,72;7,96;2,37;16,66;33,54;50,2;785,02
01/10/2020;11,3;230,78;61,89;166,42;96,47;69,6;88,42;8,06;2,57;10,31;48,58;58,89;853,29
01/11/2020;11,92;221,06;69,3;188,78;111;65,43;90,07;8,48;2,62;7,06;43,96;51,02;870,7
01/12/2020;13,28;242,19;73,05;204,76;122,8;71,98;98,34;8,91;2,77;4,41;51,41;55,82;949,72
01/01/2021;13,67;251,06;76,49;213,1;127,33;79,07;101,4;9,28;2,76;5,05;49,11;54,16;982,48
01/02/2021;12,35;235,98;64,49;181;108,12;74,36;88,63;8,39;2,49;8,95;49,2;58,15;892,11
01/03/2021;13,3;249,29;63,98;187,24;114,83;72,69;96,34;8,43;2,77;16,14;48,05;64,19;937,25
01/04/2021;12,11;226,54;55,32;164,16;101,19;69,02;85,43;7,65;2,59;19,77;37,62;57,39;838,79
01/05/2021;11,96;238,54;47,05;137,15;82,53;79,06;82,59;7,57;2,58;23,08;39,27;62,35;813,73
01/06/2021;10,66;218,93;51,39;148,56;89,85;75,23;81,37;7,32;2,46;25,4;23,81;49,21;784,19
01/07/2021;10,99;224,74;58,6;163,19;96,61;71,67;85,18;7,98;2,5;24,71;29,69;54,4;830,26
01/08/2021;11,02;220,95;59,49;160,09;92,51;67,48;84,44;8,09;2,44;21,99;33,58;55,57;817,65
01/09/2021;10,97;205,04;64,41;171,32;99,03;57,04;86,47;7,88;2,49;18,51;29,56;48,07;800,79
01/10/2021;12,25;228,15;65,43;175,71;101,94;56,31;91,67;8,34;2,68;13,83;51,41;65,24;872,96
01/11/2021;12,98;223,74;73,55;204,78;122,15;61,23;92,35;9,08;2,64;7,29;47,25;54,54;911,58
01/12/2021;14,39;246,23;78,91;217,39;128,62;69,32;98,3;9,86;2,76;5,41;56,05;61,46;988,7
01/01/2022;13,78;251,76;77,3;216,19;129,18;67,87;99,36;9,71;2,86;7,39;60,5;67,89;1003,79
01/02/2022;12,23;235,95;65,1;176,67;103,38;57,55;85,26;8,19;2,56;10,98;67,37;78,35;903,59
01/03/2022;13,29;233,22;75,1;199,07;114,6;65,83;86,7;9,37;2,88;19,17;45,35;64,52;929,1
01/04/2022;11,88;227,16;58,71;157,09;90,74;66,48;77,05;7,64;2,65;23,06;46,04;69,1;837,6
01/05/2022;11,23;223,81;53,37;147,64;86,65;72,15;71,55;7,62;2,64;29,14;37,1;66,24;809,14
01/06/2022;10,88;210,69;56,36;152,41;88,69;68,57;68,1;7,36;2,38;30,09;30,67;60,76;786,96
01/07/2022;11,32;212,94;61,3;166,53;97,41;60,46;71,52;7,82;2,43;31,7;35,51;67,21;826,15
01/08/2022;11,27;199,87;64,83;176,04;103,61;56,71;71,22;7,6;2,44;28,99;29,24;58,23;810,05
01/09/2022;11,34;193,66;64,94;169,38;96,74;50,53;71,36;7,7;2,41;21,13;36,89;58,02;784,1
01/10/2022;10,69;206,28;64,07;172,28;100,27;52,16;73,76;7,94;2,61;16,1;50,96;67,06;824,18
01/11/2022;12,17;214,57;72,11;184,75;104,32;57,08;77,66;8,32;2,59;8,99;56,08;65,07;863,71
01/12/2022;13,48;224,75;82,04;213,4;122,15;64,22;85,2;9,21;2,71;5,65;53,49;59,14;935,44
01/01/2023;12,61;246,86;75,68;196,47;111,78;67,52;87,61;9,01;2,72;7,74;68,66;76,4;963,06
01/02/2023;11,74;213,9;67,97;186,54;110,14;57,27;78,11;8,43;2,46;12,78;51,54;64,32;865,2
01/03/2023;12,18;238,81;63,88;177,57;104,91;65,62;79,72;8,78;2,66;19,42;59,21;78,63;911,39
01/04/2023;11,16;225,06;50,78;143,81;85,83;66,22;75,22;7,2;2,55;26,75;43,16;69,91;807,65
01/05/2023;9,84;227,12;44,45;130,99;79,57;72,94;68,71;6,97;2,54;33,28;39,81;73,09;789,31
01/06/2023;8,66;217,36;44,16;128,38;78,05;70,93;69,67;6,17;2,33;37,01;28,76;65,77;757,25
01/07/2023;9,5;228,56;48,47;142,69;87,32;64,63;74,6;6,9;2,36;36,42;41,05;77,47;819,97
01/08/2023;9,64;220,18;51,72;150,43;91,41;65,64;73,22;7,3;2,31;32,84;36,53;69,37;810,59
01/09/2023;9,62;212;52,02;145,22;86,2;58,93;74,59;7;2,4;29;37,46;66,46;780,9
01/10/2023;10,65;228,69;57,74;156,09;90,84;61,49;78,94;7,51;2,58;18,59;56,44;75,03;844,59
01/11/2023;11,83;241,98;63,02;167,05;95,99;73,46;79,06;8,04;2,63;10,76;64,24;75;893,06
01/12/2023;12,43;259,06;65,86;181,81;107,41;77,45;87,98;8,54;2,72;8,38;70,1;78,48;960,22
01/01/2024;12,58;269,56;65,44;191,5;117,11;80,59;91,11;8,95;2,69;10,32;72,27;82,59;1004,71
01/02/2024;11,68;247,88;58;164,5;98,71;71,9;80,45;7,79;2,58;14,45;66,82;81,27;906,03
01/03/2024;12,13;251,87;56,44;160,45;96,45;79,04;79,89;7,56;2,69;23,84;54,28;78,12;902,76
;;;;;;;;;;;;;
;;;;;;;;;;;;;
